col_a,col_b,sub_a,sub_b,role_a,role_b,metric,effect_size,p,n_valid,p_adj
execution_pass,ipd_info_type-Informed Consent Form (ICF),execution_pass,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.14746874804103757,1.0528044777432037e-11,2105,2.0455192550366388e-11
execution_fail,ipd_info_type-Informed Consent Form (ICF),execution_fail,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.14746874804103757,1.0528044777432037e-11,2105,2.0455192550366388e-11
approval_outcome,study_design_info/masking,approval_outcome,study_design_info/masking,num,cat,eta,0.14731816829119984,4.795261827215928e-102,24224,2.265442137002202e-101
approval_outcome,responsible_party/responsible_party_type,approval_outcome,responsible_party/responsible_party_type,num,cat,eta,0.1469645421620457,2.0818457492578568e-104,21870,1.0084574438412816e-103
location/facility/address/city,responsible_party/responsible_party_type,location/facility/address/city__n_items,responsible_party/responsible_party_type,num,cat,eta,0.14600475006407784,2.56188e-318,67878,2.587914e-317
Experimental Arm Number,study_design_info/allocation,Experimental Arm Number,study_design_info/allocation,num,cat,eta,0.14584947073562704,4.296928097085721e-279,59269,3.999200869385025e-278
Radiation intervention Number,mortality_rate,Radiation intervention Number,mortality_rate,num,num,abs_spearman,0.14573194301225303,1.277182819177559e-85,17916,5.434587852151086e-85
condition_browse/mesh_term,start_date,condition_browse/mesh_term__n_items,start_date__days,num,num,abs_spearman,0.14536987537634172,4.6751407385899844e-201,42855,3.4473960639157597e-200
mortality_rate,number_of_arms,mortality_rate,number_of_arms,num,num,abs_spearman,0.14502610727041218,1.155462683702776e-84,17886,4.891524308349912e-84
execution_pass,mortality_YN,execution_pass,mortality_YN,num,num,abs_spearman,0.1450133583222679,9.972430313561742e-85,17903,4.228923093720295e-84
execution_fail,mortality_YN,execution_fail,mortality_YN,num,num,abs_spearman,0.1450133583222679,9.972430313561742e-85,17903,4.228923093720295e-84
execution_fail,sponsors/lead_sponsor/agency_class,execution_fail,sponsors/lead_sponsor/agency_class,num,cat,eta,0.14481664577381473,1.3813080899562883e-193,42207,9.92066648422363e-193
execution_pass,sponsors/lead_sponsor/agency_class,execution_pass,sponsors/lead_sponsor/agency_class,num,cat,eta,0.1448166457738147,1.3813080899562883e-193,42207,9.92066648422363e-193
dropout_YN,responsible_party/responsible_party_type,dropout_YN,responsible_party/responsible_party_type,num,cat,eta,0.1446514553421075,4.10995974291433e-169,36674,2.745497301382288e-168
Drug intervention Number,enrollment,Drug intervention Number,enrollment,num,num,abs_spearman,0.14464910991272784,2.216499963663994e-206,44446,1.6640490663761404e-205
icdcode,sponsors/lead_sponsor/agency_class,icdcode__n_items,sponsors/lead_sponsor/agency_class,num,cat,eta,0.14375742960812113,3.66e-322,71221,3.71e-321
oversight_info/is_fda_regulated_drug,phase,oversight_info/is_fda_regulated_drug,phase,cat,cat,cramers_v,0.14364139521513444,2.990489528583409e-61,13761,1.0496280336906456e-60
MaskingType-Outcomes Assessor,sae_rate,MaskingType-Outcomes Assessor,sae_rate,num,num,abs_spearman,0.14363975097599832,4.324647961547095e-83,17890,1.8122681592655197e-82
failure_reason,patient_data/sharing_ipd,failure_reason,patient_data/sharing_ipd,cat,cat,cramers_v,0.1431383912157002,6.606421643688864e-18,2274,1.4723728954768455e-17
approval_outcome,dropout_rate,approval_outcome,dropout_rate,num,num,abs_spearman,0.1429780039187318,1.997378539436585e-65,14131,7.3642220630562525e-65
ipd_info_type-Clinical Study Report (CSR),oversight_info/has_dmc,ipd_info_type-Clinical Study Report (CSR),oversight_info/has_dmc,num,cat,eta,0.14260516551246846,3.495381265154963e-10,1919,6.53575804658396e-10
dropout_rate,enrollment,dropout_rate,enrollment,num,num,abs_spearman,0.14258678823532914,4.26677892942718e-173,38301,2.8969796829580715e-172
study_design_info/intervention_model,study_design_info/primary_purpose,study_design_info/intervention_model,study_design_info/primary_purpose,cat,cat,cramers_v,0.14236831499404518,0.0,80137,0.0
Placebo Comparator Arm Number,intervention_browse/mesh_term,Placebo Comparator Arm Number,intervention_browse/mesh_term__n_items,num,num,abs_spearman,0.14197766345328638,0.0,78123,0.0
MaskingType-Outcomes Assessor,mortality_rate,MaskingType-Outcomes Assessor,mortality_rate,num,num,abs_spearman,0.1417157393178549,6.587129108658102e-81,17890,2.719105620434449e-80
duration_year,execution_fail,duration_year,execution_fail,num,num,abs_spearman,0.1411103876114835,9.731786680386881e-90,20062,4.220504345682618e-89
duration_year,execution_pass,duration_year,execution_pass,num,num,abs_spearman,0.1411103876114835,9.731786680386881e-90,20062,4.220504345682618e-89
duration_day,execution_pass,duration_day,execution_pass,num,num,abs_spearman,0.1411103876114835,9.731786680386881e-90,20062,4.220504345682618e-89
duration_day,execution_fail,duration_day,execution_fail,num,num,abs_spearman,0.1411103876114835,9.731786680386881e-90,20062,4.220504345682618e-89
duration_month,execution_fail,duration_month,execution_fail,num,num,abs_spearman,0.14088382907132874,1.874247992263419e-89,20062,8.100010888303646e-89
duration_month,execution_pass,duration_month,execution_pass,num,num,abs_spearman,0.14088382907132874,1.874247992263419e-89,20062,8.100010888303646e-89
Active Comparator Arm Number,study_design_info/masking_num,Active Comparator Arm Number,study_design_info/masking_num,num,num,abs_spearman,0.14069540746370549,1.432700819054195e-302,69142,1.4241046141398697e-301
MaskingType-Investigator,mortality_YN,MaskingType-Investigator,mortality_YN,num,num,abs_spearman,0.1403610653922832,2.1739917697386653e-79,17890,8.900114576277732e-79
location/facility/address/city,study_design_info/intervention_model,location/facility/address/city__n_items,study_design_info/intervention_model,num,cat,eta,0.14033500405723962,0.0,80897,0.0
Active Comparator Arm Number,smiless,Active Comparator Arm Number,smiless__n_items,num,num,abs_spearman,0.14023907800886942,2.9461823081150095e-301,69293,2.9168378628150593e-300
completion_date,ipd_info_type-Clinical Study Report (CSR),completion_date__days,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.13999186321625082,5.0980322934167755e-09,1728,9.166867039899195e-09
oversight_info/has_dmc,responsible_party/responsible_party_type,oversight_info/has_dmc,responsible_party/responsible_party_type,cat,cat,cramers_v,0.13964651481778,1.1401036666618976e-151,35645,6.89332752227449e-151
completion_date,execution_fail,completion_date__days,execution_fail,num,num,abs_spearman,0.13914755509362856,2.7444880071999725e-87,20062,1.1779020203613008e-86
completion_date,execution_pass,completion_date__days,execution_pass,num,num,abs_spearman,0.13914755509362856,2.7444880071999725e-87,20062,1.1779020203613008e-86
mortality_rate,smiless,mortality_rate,smiless__n_items,num,num,abs_spearman,0.13898210267446828,5.716303437221732e-78,17916,2.317294297144536e-77
failure_reason,ipd_info_type-Informed Consent Form (ICF),failure_reason,ipd_info_type-Informed Consent Form (ICF),cat,num,eta,0.13897091290604613,0.15144535436256,275,0.18067292635187787
brief_title,phase,brief_title__n_items,phase,num,cat,eta,0.13870821238233594,0.0,81786,0.0
intervention_browse/mesh_term,mortality_YN,intervention_browse/mesh_term__n_items,mortality_YN,num,num,abs_spearman,0.13811087583375095,5.215448770241395e-77,17916,2.097150516836548e-76
sponsors/lead_sponsor/agency_class,study_design_info/masking,sponsors/lead_sponsor/agency_class,study_design_info/masking,cat,cat,cramers_v,0.13786506355990824,0.0,64727,0.0
Placebo Comparator Arm Number,mortality_YN,Placebo Comparator Arm Number,mortality_YN,num,num,abs_spearman,0.1371263072114461,8.296551672733017e-76,17886,3.2934394419714934e-75
MaskingType-Investigator,dropout_YN,MaskingType-Investigator,dropout_YN,num,num,abs_spearman,0.13689270918717086,3.0733146783394074e-159,38218,1.9334650571325133e-158
Behavioral intervention Number,ipd_info_type-Clinical Study Report (CSR),Behavioral intervention Number,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.13678849976767984,1.9982901275958542e-10,2145,3.7705018732541367e-10
No Intervention Arm Number,sponsors/lead_sponsor/agency_class,No Intervention Arm Number,sponsors/lead_sponsor/agency_class,num,cat,eta,0.13656233350594094,1.6336068473847259e-282,69293,1.5376943241481226e-281
Experimental Arm Number,ipd_info_type-Clinical Study Report (CSR),Experimental Arm Number,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.13599644318980267,2.694143730562753e-10,2139,5.052790317319578e-10
Biological intervention Number,eligibility/maximum_age,Biological intervention Number,eligibility/maximum_age__years,num,num,abs_spearman,0.13588871816717313,2.5093804819595008e-175,42760,1.722599584991536e-174
Radiation intervention Number,intervention/intervention_name,Radiation intervention Number,intervention/intervention_name__n_items,num,num,abs_spearman,0.13588326912380558,0.0,81786,0.0
intervention/intervention_name,study_design_info/masking,intervention/intervention_name__n_items,study_design_info/masking,num,cat,eta,0.13558820887092604,7.163528129109272e-286,75043,6.79441503848723e-285
Sham Comparator Arm Number,study_design_info/masking,Sham Comparator Arm Number,study_design_info/masking,num,cat,eta,0.13478252973411353,4.570364722033185e-239,64055,3.9028715925266195e-238
MaskingType-Participant,ipd_info_type-Clinical Study Report (CSR),MaskingType-Participant,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.1346518057831074,3.8207211969101277e-10,2145,7.133352497612072e-10
Radiation intervention Number,sponsors/lead_sponsor/agency_class,Radiation intervention Number,sponsors/lead_sponsor/agency_class,num,cat,eta,0.13425310726905373,1.5208031943715726e-280,71221,1.4207503526366008e-279
condition_browse/mesh_term,mortality_rate,condition_browse/mesh_term__n_items,mortality_rate,num,num,abs_spearman,0.13374871687616122,2.698437921139929e-72,17916,1.052687320884258e-71
Experimental Arm Number,failure_reason,Experimental Arm Number,failure_reason,num,cat,eta,0.13374763078083632,1.0688869849178271e-73,18919,4.196183503192417e-73
No Intervention Arm Number,study_design_info/masking,No Intervention Arm Number,study_design_info/masking,num,cat,eta,0.1337183953432372,4.512423326563758e-235,64055,3.8140720974527e-234
duration_month,intervention_browse/mesh_term,duration_month,intervention_browse/mesh_term__n_items,num,num,abs_spearman,0.13368887275154412,4.3869654887004154e-170,42855,2.970465732812134e-169
enrollment,failure_reason,enrollment,failure_reason,num,cat,eta,0.1336364951338867,1.9025174415595665e-24,6304,4.713614997283672e-24
condition_browse/mesh_term,study_design_info/intervention_model,condition_browse/mesh_term__n_items,study_design_info/intervention_model,num,cat,eta,0.1335678230752232,4.522471878e-314,80897,4.549936282e-313
duration_day,intervention_browse/mesh_term,duration_day,intervention_browse/mesh_term__n_items,num,num,abs_spearman,0.13323985744911931,6.01380329642118e-169,42855,3.9851469844284356e-168
duration_year,intervention_browse/mesh_term,duration_year,intervention_browse/mesh_term__n_items,num,num,abs_spearman,0.13323985744911931,6.01380329642118e-169,42855,3.9851469844284356e-168
intervention/intervention_type,oversight_info/is_fda_regulated_drug,intervention/intervention_type__n_items,oversight_info/is_fda_regulated_drug,num,cat,eta,0.1330698027031846,2.1251166181846354e-55,13761,7.136371346201107e-55
Device intervention Number,study_design_info/masking,Device intervention Number,study_design_info/masking,num,cat,eta,0.1323319954873899,1.836654862639559e-232,64727,1.5264506132639814e-231
Biological intervention Number,sae_YN,Biological intervention Number,sae_YN,num,num,abs_spearman,0.13232692631737186,8.586844850543323e-71,17916,3.2980385554250625e-70
Behavioral intervention Number,study_design_info/masking,Behavioral intervention Number,study_design_info/masking,num,cat,eta,0.13227418524778972,2.632304542935058e-271,75043,2.422695107108748e-270
dropout_rate,start_date,dropout_rate,start_date__days,num,num,abs_spearman,0.13135985108777717,3.965315918453367e-63,16162,1.4364154602560666e-62
approval_outcome,ipd_info_type-Statistical Analysis Plan (SAP),approval_outcome,ipd_info_type-Statistical Analysis Plan (SAP),num,num,abs_spearman,0.13125574253344532,0.00032496706714405226,746,0.0004861789053901083
MaskingType-Care Provider,mortality_rate,MaskingType-Care Provider,mortality_rate,num,num,abs_spearman,0.13124315862485228,1.4675650798046103e-69,17890,5.55929759651594e-69
dropout_YN,duration_year,dropout_YN,duration_year,num,num,abs_spearman,0.1312131299689243,5.449024611048854e-63,16162,1.965286815450857e-62
dropout_YN,duration_day,dropout_YN,duration_day,num,num,abs_spearman,0.1312131299689243,5.449024611048854e-63,16162,1.965286815450857e-62
Radiation intervention Number,duration_month,Radiation intervention Number,duration_month,num,num,abs_spearman,0.13097875641361614,2.783582171557631e-163,42855,1.8060578841568441e-162
Radiation intervention Number,duration_day,Radiation intervention Number,duration_day,num,num,abs_spearman,0.13094238935949026,3.426950749952934e-163,42855,2.211940938605985e-162
Radiation intervention Number,duration_year,Radiation intervention Number,duration_year,num,num,abs_spearman,0.13094238935949026,3.426950749952934e-163,42855,2.211940938605985e-162
dropout_YN,duration_month,dropout_YN,duration_month,num,num,abs_spearman,0.13083063015590812,1.2457876513320834e-62,16162,4.454363041093852e-62
responsible_party/responsible_party_type,study_design_info/masking,responsible_party/responsible_party_type,study_design_info/masking,cat,cat,cramers_v,0.13081239994271127,0.0,63064,0.0
condition,duration_month,condition__n_items,duration_month,num,num,abs_spearman,0.13075837518873118,9.804842063801485e-163,42855,6.312184592887744e-162
condition,duration_year,condition__n_items,duration_year,num,num,abs_spearman,0.1306885495189659,1.4605022505617106e-162,42855,9.353989929499617e-162
condition,duration_day,condition__n_items,duration_day,num,num,abs_spearman,0.1306885495189659,1.4605022505617106e-162,42855,9.353989929499617e-162
dropout_rate,phase,dropout_rate,phase,num,cat,eta,0.1305083091543166,2.7724858461155724e-142,38302,1.624912105565377e-141
ipd_info_type-Informed Consent Form (ICF),responsible_party/responsible_party_type,ipd_info_type-Informed Consent Form (ICF),responsible_party/responsible_party_type,num,cat,eta,0.12954909319106958,1.4473646571177167e-08,2136,2.578280410707904e-08
condition_browse/mesh_term,sponsors/lead_sponsor/agency_class,condition_browse/mesh_term__n_items,sponsors/lead_sponsor/agency_class,num,cat,eta,0.12920806944938815,1.2124612943191006e-259,71221,1.0799162424311702e-258
eligibility/maximum_age,patient_data/sharing_ipd,eligibility/maximum_age__years,patient_data/sharing_ipd,num,cat,eta,0.12919522879512935,8.872833605360267e-26,6857,2.2339403758176556e-25
dropout_YN,study_design_info/masking_num,dropout_YN,study_design_info/masking_num,num,num,abs_spearman,0.12903290458714925,1.4809587730583028e-141,38218,8.638926176173433e-141
condition,ipd_info_type-Informed Consent Form (ICF),condition__n_items,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.12846273173373954,2.359076671504073e-09,2145,4.3010312022653135e-09
Experimental Arm Number,ipd_info_type-Statistical Analysis Plan (SAP),Experimental Arm Number,ipd_info_type-Statistical Analysis Plan (SAP),num,num,abs_spearman,0.12822067056732164,7.369349386144885e-10,2290,1.363576561769921e-09
ipd_info_type-Clinical Study Report (CSR),study_design_info/masking_num,ipd_info_type-Clinical Study Report (CSR),study_design_info/masking_num,num,num,abs_spearman,0.12788691924952242,2.7824802073663607e-09,2145,5.0581297112695e-09
Behavioral intervention Number,sponsors/lead_sponsor/agency_class,Behavioral intervention Number,sponsors/lead_sponsor/agency_class,num,cat,eta,0.12781829027121241,4.96417623459654e-254,71221,4.374460263465391e-253
eligibility/gender,phase,eligibility/gender,phase,cat,cat,cramers_v,0.12773544649097152,0.0,71221,0.0
condition_browse/mesh_term,mortality_YN,condition_browse/mesh_term__n_items,mortality_YN,num,num,abs_spearman,0.12750487924441165,8.079537575250115e-66,17916,2.987745665847699e-65
dropout_YN,failure_reason,dropout_YN,failure_reason,num,cat,eta,0.12741506232876523,3.443246690016718e-22,6299,8.180179755919258e-22
ipd_info_type-Statistical Analysis Plan (SAP),sae_rate,ipd_info_type-Statistical Analysis Plan (SAP),sae_rate,num,num,abs_spearman,0.12714093027967308,5.3461758160090314e-08,1818,9.303394189623559e-08
enrollment,ipd_info_type-Informed Consent Form (ICF),enrollment,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.12712845547297644,3.454455039051336e-09,2145,6.2613572370842955e-09
smiless,start_date,smiless__n_items,start_date__days,num,num,abs_spearman,0.12707810696052646,9.617080583891536e-154,42855,5.88631656427844e-153
ipd_info_type-Analytic Code,responsible_party/responsible_party_type,ipd_info_type-Analytic Code,responsible_party/responsible_party_type,num,cat,eta,0.12685855928020423,3.0580912211992e-08,2136,5.3667773196892734e-08
failure_reason,phase,failure_reason,phase,cat,cat,cramers_v,0.12650729832336519,7.036822291404372e-209,20769,5.347554554782833e-208
oversight_info/has_dmc,study_design_info/primary_purpose,oversight_info/has_dmc,study_design_info/primary_purpose,cat,cat,cramers_v,0.1252315329059599,4.6235087023564036e-148,45283,2.748664862525278e-147
biology_pass,execution_pass,biology_pass,execution_pass,num,num,abs_spearman,0.1250231600115843,3.4771604113989363e-99,28367,1.5912971680159037e-98
biology_pass,execution_fail,biology_pass,execution_fail,num,num,abs_spearman,0.1250231600115843,3.4771604113989363e-99,28367,1.5912971680159037e-98
biology_fail,execution_pass,biology_fail,execution_pass,num,num,abs_spearman,0.1250231600115843,3.4771604113989363e-99,28367,1.5912971680159037e-98
biology_fail,execution_fail,biology_fail,execution_fail,num,num,abs_spearman,0.1250231600115843,3.4771604113989363e-99,28367,1.5912971680159037e-98
patient_data/sharing_ipd,study_design_info/primary_purpose,patient_data/sharing_ipd,study_design_info/primary_purpose,cat,cat,cramers_v,0.12466158017723299,3.2843549841653483e-79,13490,1.342372061784686e-78
oversight_info/has_dmc,study_design_info/intervention_model,oversight_info/has_dmc,study_design_info/intervention_model,cat,cat,cramers_v,0.12417786051222766,3.93157103984656e-151,45679,2.3598922787484786e-150
execution_fail,study_design_info/masking,execution_fail,study_design_info/masking,num,cat,eta,0.1241630001762441,4.0991503051397225e-162,52422,2.611894489300567e-161
execution_pass,study_design_info/masking,execution_pass,study_design_info/masking,num,cat,eta,0.12416300017624408,4.099150305139492e-162,52422,2.611894489300567e-161
patient_data/sharing_ipd,study_design_info/masking,patient_data/sharing_ipd,study_design_info/masking,cat,cat,cramers_v,0.12352602940338109,4.7264306616810737e-63,12943,1.7096332160520331e-62
eligibility/maximum_age,phase,eligibility/maximum_age__years,phase,num,cat,eta,0.12351616373331138,3.7494717111050375e-142,42760,2.192338165199063e-141
eligibility/maximum_age,sae_YN,eligibility/maximum_age__years,sae_YN,num,num,abs_spearman,0.12349386786709707,5.412583380702972e-31,8723,1.449382510888673e-30
ipd_info_type-Clinical Study Report (CSR),phase,ipd_info_type-Clinical Study Report (CSR),phase,num,cat,eta,0.1232516071128289,3.582005622282701e-07,2145,6.07596175520308e-07
intervention_browse/mesh_term,phase,intervention_browse/mesh_term__n_items,phase,num,cat,eta,0.1231848935458118,8.005378619248874e-271,81786,7.340725412853673e-270
icdcode,mortality_rate,icdcode__n_items,mortality_rate,num,num,abs_spearman,0.12294769649546607,2.714534560614713e-61,17916,9.541185831863595e-61
enrollment,sae_rate,enrollment,sae_rate,num,num,abs_spearman,0.12288236125883109,4.106020073741685e-61,17881,1.4371070258095897e-60
condition_browse/mesh_term,eligibility/gender,condition_browse/mesh_term__n_items,eligibility/gender,num,cat,eta,0.12284431474490835,7.018532715199573e-236,71221,5.9525780878057805e-235
ipd_info_type-Clinical Study Report (CSR),number_of_arms,ipd_info_type-Clinical Study Report (CSR),number_of_arms,num,num,abs_spearman,0.12280094716089918,1.2142200214002985e-08,2139,2.16762697785901e-08
failure_reason,start_date,failure_reason,start_date__days,cat,num,eta,0.12273318927699035,1.4891179035546148e-22,6904,3.564988429993466e-22
ipd_info_type-Informed Consent Form (ICF),mortality_YN,ipd_info_type-Informed Consent Form (ICF),mortality_YN,num,num,abs_spearman,0.12266493316851008,1.5508730093688654e-07,1818,2.6726209627473165e-07
ipd_info_type-Informed Consent Form (ICF),oversight_info/has_dmc,ipd_info_type-Informed Consent Form (ICF),oversight_info/has_dmc,num,cat,eta,0.12266168410024146,7.036737920056354e-08,1919,1.2228177434503525e-07
completion_date,study_design_info/intervention_model,completion_date__days,study_design_info/intervention_model,num,cat,eta,0.1225490836565534,3.7067555522159693e-138,42592,2.1224164855430148e-137
eligibility/healthy_volunteers,location/facility/address/city,eligibility/healthy_volunteers,location/facility/address/city__n_items,cat,num,eta,0.12222120921645821,4.321913841410207e-269,81613,3.9340497787195474e-268
Drug intervention Number,No Intervention Arm Number,Drug intervention Number,No Intervention Arm Number,num,num,abs_spearman,0.12192922323479592,1.0605806914149872e-227,69293,8.698161776126216e-227
Experimental Arm Number,location/facility/address/city,Experimental Arm Number,location/facility/address/city__n_items,num,num,abs_spearman,0.1216097049638398,4.177745448914978e-255,78123,3.7077490859120435e-254
MaskingType-Participant,dropout_YN,MaskingType-Participant,dropout_YN,num,num,abs_spearman,0.12133323305719537,2.8146898701475807e-125,38218,1.5041944789928468e-124
Experimental Arm Number,approval_outcome,Experimental Arm Number,approval_outcome,num,num,abs_spearman,0.1207732196235231,4.6215552320659566e-92,28187,2.0326663277316643e-91
study_design_info/masking_num,study_design_info/primary_purpose,study_design_info/masking_num,study_design_info/primary_purpose,num,cat,eta,0.12066096482472731,3.849787329032541e-248,80406,3.356744390402058e-247
dropout_rate,study_design_info/allocation,dropout_rate,study_design_info/allocation,num,cat,eta,0.12041318340328325,3.7693753196335087e-94,29014,1.6726602980873695e-93
Experimental Arm Number,duration_month,Experimental Arm Number,duration_month,num,num,abs_spearman,0.12031593779097942,3.966207711226708e-136,42293,2.2451084652388087e-135
Active Comparator Arm Number,responsible_party/responsible_party_type,Active Comparator Arm Number,responsible_party/responsible_party_type,num,cat,eta,0.12002857857345763,1.3211723551308974e-211,66924,1.0164437469041114e-210
Active Comparator Arm Number,MaskingType-Participant,Active Comparator Arm Number,MaskingType-Participant,num,num,abs_spearman,0.11985187130342734,1.5038988020052754e-219,69142,1.193989943445083e-218
ipd_info_type-Informed Consent Form (ICF),mortality_rate,ipd_info_type-Informed Consent Form (ICF),mortality_rate,num,num,abs_spearman,0.11955754773103831,3.1786037608412483e-07,1818,5.395375919187501e-07
Experimental Arm Number,duration_year,Experimental Arm Number,duration_year,num,num,abs_spearman,0.11955527712620266,2.000689146286556e-134,42293,1.1147337507897067e-133
Experimental Arm Number,duration_day,Experimental Arm Number,duration_day,num,num,abs_spearman,0.11955527712620266,2.000689146286556e-134,42293,1.1147337507897067e-133
Radiation intervention Number,mortality_YN,Radiation intervention Number,mortality_YN,num,num,abs_spearman,0.11882767262383806,2.40300574342387e-57,17916,8.23650934125285e-57
start_date,study_design_info/primary_purpose,start_date__days,study_design_info/primary_purpose,num,cat,eta,0.11861003114664818,7.975600065395025e-126,42836,4.2714151212298785e-125
execution_pass,study_design_info/primary_purpose,execution_pass,study_design_info/primary_purpose,num,cat,eta,0.11853792504473566,7.282294486156683e-153,52095,4.424572566772459e-152
execution_fail,study_design_info/primary_purpose,execution_fail,study_design_info/primary_purpose,num,cat,eta,0.11853792504473565,7.282294486156683e-153,52095,4.424572566772459e-152
sponsors/lead_sponsor/agency_class,study_design_info/masking_num,sponsors/lead_sponsor/agency_class,study_design_info/masking_num,cat,num,eta,0.11837894943635413,1.8997847671985794e-216,70854,1.4987190941233237e-215
Device intervention Number,Sham Comparator Arm Number,Device intervention Number,Sham Comparator Arm Number,num,num,abs_spearman,0.11817493717529833,6.317735895046265e-214,69293,4.921496457426323e-213
Radiation intervention Number,study_design_info/masking_num,Radiation intervention Number,study_design_info/masking_num,num,num,abs_spearman,0.11808719722094269,7.343678519875087e-250,81170,6.425718704890702e-249
MaskingType-Participant,sponsors/lead_sponsor/agency_class,MaskingType-Participant,sponsors/lead_sponsor/agency_class,num,cat,eta,0.11784536111151112,1.7514318346472251e-214,70854,1.3686503487730674e-213
eligibility/healthy_volunteers,failure_reason,eligibility/healthy_volunteers,failure_reason,cat,cat,cramers_v,0.11770531740177184,6.8991613853433905e-62,20706,2.4387505039229484e-61
failure_reason,oversight_info/is_fda_regulated_drug,failure_reason,oversight_info/is_fda_regulated_drug,cat,cat,cramers_v,0.11751713644914653,8.859433414407919e-14,4623,1.8090133142813212e-13
intervention_browse/mesh_term,ipd_info_type-Informed Consent Form (ICF),intervention_browse/mesh_term__n_items,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.11732711033479949,5.0492284462923984e-08,2145,8.798971030179951e-08
oversight_info/is_fda_regulated_device,study_design_info/masking,oversight_info/is_fda_regulated_device,study_design_info/masking,cat,cat,cramers_v,0.11723777456855618,1.8619632763291735e-30,13530,4.922317810295741e-30
approval_outcome,oversight_info/has_dmc,approval_outcome,oversight_info/has_dmc,num,cat,eta,0.1162783566754291,1.5892566734065345e-66,21810,5.912129990142572e-66
eligibility/healthy_volunteers,execution_pass,eligibility/healthy_volunteers,execution_pass,cat,num,eta,0.11597693331646325,3.8058924642431384e-157,52677,2.3526474561303974e-156
eligibility/healthy_volunteers,execution_fail,eligibility/healthy_volunteers,execution_fail,cat,num,eta,0.11597693331646322,3.805892464242628e-157,52677,2.3526474561303974e-156
location/facility/address/city,study_design_info/masking,location/facility/address/city__n_items,study_design_info/masking,num,cat,eta,0.11564354718748542,5.88742297711297e-204,75043,4.393467296734453e-203
Device intervention Number,oversight_info/is_fda_regulated_drug,Device intervention Number,oversight_info/is_fda_regulated_drug,num,cat,eta,0.11562134430959711,4.751810589186923e-35,11339,1.3297578056452144e-34
Active Comparator Arm Number,sponsors/lead_sponsor/agency_class,Active Comparator Arm Number,sponsors/lead_sponsor/agency_class,num,cat,eta,0.1156124259773578,8.364002337610664e-202,69293,6.20434203252612e-201
oversight_info/is_fda_regulated_device,study_design_info/primary_purpose,oversight_info/is_fda_regulated_device,study_design_info/primary_purpose,cat,cat,cramers_v,0.11560904874344774,2.693197306308828e-35,13675,7.562254583251343e-35
MaskingType-Investigator,execution_pass,MaskingType-Investigator,execution_pass,num,num,abs_spearman,0.11537304147499448,8.820448269062274e-155,52422,5.412052826819691e-154
MaskingType-Investigator,execution_fail,MaskingType-Investigator,execution_fail,num,num,abs_spearman,0.11537304147499448,8.820448269062274e-155,52422,5.412052826819691e-154
intervention/intervention_name,patient_data/sharing_ipd,intervention/intervention_name__n_items,patient_data/sharing_ipd,num,cat,eta,0.11526518528819488,5.897820188729145e-40,13510,1.7242450787049324e-39
eligibility/healthy_volunteers,intervention_browse/mesh_term,eligibility/healthy_volunteers,intervention_browse/mesh_term__n_items,cat,num,eta,0.11521032413681384,3.8267668114478962e-239,81613,3.2791432849820764e-238
Radiation intervention Number,study_design_info/masking,Radiation intervention Number,study_design_info/masking,num,cat,eta,0.11513617341981876,4.727976145516904e-202,75043,3.5176708747333846e-201
dropout_rate,sponsors/lead_sponsor/agency_class,dropout_rate,sponsors/lead_sponsor/agency_class,num,cat,eta,0.11493220383331917,4.670081071078065e-110,38302,2.3350405355390323e-109
MaskingType-Participant,study_design_info/primary_purpose,MaskingType-Participant,study_design_info/primary_purpose,num,cat,eta,0.11483056336310266,5.521289131843883e-224,80406,4.4546764586467685e-223
Active Comparator Arm Number,MaskingType-Outcomes Assessor,Active Comparator Arm Number,MaskingType-Outcomes Assessor,num,num,abs_spearman,0.11477305479648024,2.168528694846847e-201,69142,1.603807680563814e-200
completion_date,failure_reason,completion_date__days,failure_reason,num,cat,eta,0.1146188480333899,1.177008902272589e-19,6904,2.710720224418335e-19
Other intervention Number,Placebo Comparator Arm Number,Other intervention Number,Placebo Comparator Arm Number,num,num,abs_spearman,0.11437600725894446,1.947911896346087e-200,69293,1.4278941187079725e-199
ipd_info_type-Analytic Code,phase,ipd_info_type-Analytic Code,phase,num,cat,eta,0.1139285108906042,1.404446021083498e-06,2297,2.3298053153487934e-06
Placebo Comparator Arm Number,ipd_info_type-Clinical Study Report (CSR),Placebo Comparator Arm Number,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.11377675594216964,1.3191680808378953e-07,2139,2.2764810283903955e-07
eligibility/healthy_volunteers,oversight_info/has_dmc,eligibility/healthy_volunteers,oversight_info/has_dmc,cat,cat,cramers_v,0.11377433587624472,3.0046177243232313e-131,45906,1.6518750099431924e-130
