col_a,col_b,sub_a,sub_b,role_a,role_b,metric,effect_size,p,n_valid,p_adj
oversight_info/has_dmc,phase,oversight_info/has_dmc,phase,cat,cat,cramers_v,0.1639296570320102,2.8325157678258665e-267,45926,2.5689057237398828e-266
intervention_browse/mesh_term,start_date,intervention_browse/mesh_term__n_items,start_date__days,num,num,abs_spearman,0.16364288690652215,6.092975404028546e-255,42855,5.38827184306439e-254
condition_browse/mesh_term,sae_YN,condition_browse/mesh_term__n_items,sae_YN,num,num,abs_spearman,0.1633396183713227,2.3327930154837162e-107,17916,1.143390659462926e-106
Procedure intervention Number,intervention/intervention_name,Procedure intervention Number,intervention/intervention_name__n_items,num,num,abs_spearman,0.16287869605765862,0.0,71221,0.0
condition_browse/mesh_term,study_design_info/primary_purpose,condition_browse/mesh_term__n_items,study_design_info/primary_purpose,num,cat,eta,0.16238999948436644,0.0,80983,0.0
ipd_info_type-Informed Consent Form (ICF),sponsors/lead_sponsor/agency_class,ipd_info_type-Informed Consent Form (ICF),sponsors/lead_sponsor/agency_class,num,cat,eta,0.162367541697459,2.312907610654568e-12,2145,4.5688198827317976e-12
duration_month,number_of_arms,duration_month,number_of_arms,num,num,abs_spearman,0.161282210819959,2.1957365227334715e-244,42293,1.9078340066407962e-243
phase,study_design_info/masking,phase,study_design_info/masking,cat,cat,cramers_v,0.1610824500559096,0.0,75043,0.0
ipd_info_type-Study Protocol,responsible_party/responsible_party_type,ipd_info_type-Study Protocol,responsible_party/responsible_party_type,num,cat,eta,0.1609361718697862,7.005906454228778e-13,2136,1.3983676737958646e-12
duration_day,number_of_arms,duration_day,number_of_arms,num,num,abs_spearman,0.16088598144251218,3.516867723046713e-243,42293,3.0345195457538477e-242
duration_year,number_of_arms,duration_year,number_of_arms,num,num,abs_spearman,0.16088598144251218,3.516867723046713e-243,42293,3.0345195457538477e-242
failure_reason,location/facility/address/city,failure_reason,location/facility/address/city__n_items,cat,num,eta,0.16011755569627192,1.4337359165923557e-116,20769,7.361226761842983e-116
number_of_arms,sae_rate,number_of_arms,sae_rate,num,num,abs_spearman,0.15980757853006394,1.2739401540648586e-102,17886,6.0530426058339836e-102
ipd_info_type-Clinical Study Report (CSR),mortality_rate,ipd_info_type-Clinical Study Report (CSR),mortality_rate,num,num,abs_spearman,0.15919592462243135,8.688523146365252e-12,1818,1.692083073567214e-11
MaskingType-Outcomes Assessor,phase,MaskingType-Outcomes Assessor,phase,num,cat,eta,0.15886082195441778,0.0,81170,0.0
enrollment,ipd_info_type-Clinical Study Report (CSR),enrollment,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.15878715959499393,1.395279395006446e-13,2145,2.8258103476699413e-13
MaskingType-Investigator,ipd_info_type-Clinical Study Report (CSR),MaskingType-Investigator,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.1583200222336618,1.6466741550102844e-13,2145,3.3295242271770196e-13
phase,start_date,phase,start_date__days,cat,num,eta,0.1563714354351006,1.1456222910018476e-229,42855,9.489571310465305e-229
dropout_rate,study_design_info/masking,dropout_rate,study_design_info/masking,num,cat,eta,0.1562428019111454,7.343683838673711e-190,38218,5.228955398024119e-189
approval_outcome,phase,approval_outcome,phase,num,cat,eta,0.1559751696056645,1.8346032031659678e-163,30683,1.1934526072951386e-162
Drug intervention Number,Other intervention Number,Drug intervention Number,Other intervention Number,num,num,abs_spearman,0.15560555773124649,0.0,71221,0.0
duration_year,study_design_info/masking,duration_year,study_design_info/masking,num,cat,eta,0.1555642382826628,3.127101813911689e-211,42635,2.391030156175818e-210
duration_day,study_design_info/masking,duration_day,study_design_info/masking,num,cat,eta,0.15556423828266278,3.1271018139120358e-211,42635,2.391030156175818e-210
dropout_YN,ipd_info_type-Informed Consent Form (ICF),dropout_YN,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.1555203460725678,7.242689148215524e-13,2105,1.4444689031553434e-12
duration_month,study_design_info/masking,duration_month,study_design_info/masking,num,cat,eta,0.15534567062328467,1.3503296925915088e-210,42635,1.029315731929417e-209
Drug intervention Number,MaskingType-Care Provider,Drug intervention Number,MaskingType-Care Provider,num,num,abs_spearman,0.15499868123585286,0.0,81170,0.0
mortality_YN,study_design_info/masking_num,mortality_YN,study_design_info/masking_num,num,num,abs_spearman,0.154687375091074,3.23734388902271e-96,17890,1.4521298852385261e-95
Placebo Comparator Arm Number,sae_rate,Placebo Comparator Arm Number,sae_rate,num,num,abs_spearman,0.15401818739951154,2.2645446833579213e-95,17886,1.012121139954035e-94
approval_outcome,dropout_YN,approval_outcome,dropout_YN,num,num,abs_spearman,0.15401052420253733,9.744273976914941e-76,14131,3.8619650450771334e-75
sae_YN,study_design_info/masking,sae_YN,study_design_info/masking,num,cat,eta,0.15393377181532678,1.7655701298925503e-80,17890,7.276022840436131e-80
enrollment,ipd_info_type-Statistical Analysis Plan (SAP),enrollment,ipd_info_type-Statistical Analysis Plan (SAP),num,num,abs_spearman,0.15376576578755907,8.067788213818567e-13,2145,1.607734860572505e-12
MaskingType-Investigator,sponsors/lead_sponsor/agency_class,MaskingType-Investigator,sponsors/lead_sponsor/agency_class,num,cat,eta,0.15289552946605925,0.0,70854,0.0
ipd_info_type-Informed Consent Form (ICF),sae_YN,ipd_info_type-Informed Consent Form (ICF),sae_YN,num,num,abs_spearman,0.1526445349860238,6.055680925904484e-11,1818,1.1593503159377999e-10
failure_reason,mortality_YN,failure_reason,mortality_YN,cat,num,eta,0.1525210611324594,3.259969265954293e-16,3199,7.038248154558139e-16
number_of_arms,patient_data/sharing_ipd,number_of_arms,patient_data/sharing_ipd,num,cat,eta,0.15218506784347038,4.3455386629980147e-69,13438,1.6411342823024418e-68
ipd_info_type-Informed Consent Form (ICF),study_design_info/intervention_model,ipd_info_type-Informed Consent Form (ICF),study_design_info/intervention_model,num,cat,eta,0.15215789288901957,3.5520981010444814e-10,2140,6.636814873004163e-10
enrollment,mortality_rate,enrollment,mortality_rate,num,num,abs_spearman,0.1520861229899261,5.4667627589534825e-93,17881,2.4172429637009618e-92
execution_fail,oversight_info/is_fda_regulated_drug,execution_fail,oversight_info/is_fda_regulated_drug,num,cat,eta,0.1513265971648532,1.4940765209589572e-70,13615,5.685727648672295e-70
execution_pass,oversight_info/is_fda_regulated_drug,execution_pass,oversight_info/is_fda_regulated_drug,num,cat,eta,0.15132659716485317,1.4940765209589572e-70,13615,5.685727648672295e-70
mortality_YN,patient_data/sharing_ipd,mortality_YN,patient_data/sharing_ipd,num,cat,eta,0.15119201622233103,1.251555812165455e-50,9941,4.070832713653345e-50
Active Comparator Arm Number,Drug intervention Number,Active Comparator Arm Number,Drug intervention Number,num,num,abs_spearman,0.15117273539011555,0.0,69293,0.0
enrollment,start_date,enrollment,start_date__days,num,num,abs_spearman,0.15103516081287563,4.386392202556014e-83,16162,1.8350479163891743e-82
dropout_YN,study_design_info/masking,dropout_YN,study_design_info/masking,num,cat,eta,0.15084385787431698,5.274617831304246e-176,38218,3.640951475219736e-175
MaskingType-Care Provider,phase,MaskingType-Care Provider,phase,num,cat,eta,0.15078486911470712,0.0,81170,0.0
Drug intervention Number,Experimental Arm Number,Drug intervention Number,Experimental Arm Number,num,num,abs_spearman,0.1507068313567537,0.0,78123,0.0
dropout_YN,mortality_YN,dropout_YN,mortality_YN,num,num,abs_spearman,0.15043546527980775,5.839928711227041e-91,17873,2.5639969695051582e-90
mortality_rate,oversight_info/has_dmc,mortality_rate,oversight_info/has_dmc,num,cat,eta,0.15020191127195476,1.0181600345869798e-81,16069,4.230982752422483e-81
ipd_info_type-Statistical Analysis Plan (SAP),phase,ipd_info_type-Statistical Analysis Plan (SAP),phase,num,cat,eta,0.14899381814084706,3.851692056392986e-11,2297,7.419732372198892e-11
Procedure intervention Number,sponsors/lead_sponsor/agency_class,Procedure intervention Number,sponsors/lead_sponsor/agency_class,num,cat,eta,0.14896468187796444,0.0,71221,0.0
condition_browse/mesh_term,phase,condition_browse/mesh_term__n_items,phase,num,cat,eta,0.14896338472859338,0.0,81786,0.0
number_of_arms,phase,number_of_arms,phase,num,cat,eta,0.14842847368053136,0.0,78123,0.0
No Intervention Arm Number,intervention/intervention_name,No Intervention Arm Number,intervention/intervention_name__n_items,num,num,abs_spearman,0.14816569713091718,0.0,69293,0.0
condition_browse/mesh_term,eligibility/maximum_age,condition_browse/mesh_term__n_items,eligibility/maximum_age__years,num,num,abs_spearman,0.1480290929009618,5.007213652672252e-208,42760,3.782044354677978e-207
execution_pass,patient_data/sharing_ipd,execution_pass,patient_data/sharing_ipd,num,cat,eta,0.14773927693514274,8.64933580341543e-63,12954,3.0970604425774273e-62
execution_fail,patient_data/sharing_ipd,execution_fail,patient_data/sharing_ipd,num,cat,eta,0.14773927693514274,8.64933580341543e-63,12954,3.0970604425774273e-62
mortality_rate,study_design_info/allocation,mortality_rate,study_design_info/allocation,num,cat,eta,0.14762976626571925,1.7212998506356642e-65,13259,6.355765421737927e-65
execution_pass,ipd_info_type-Informed Consent Form (ICF),execution_pass,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.14746874804103757,1.0528044777432037e-11,2105,2.0455192550366388e-11
execution_fail,ipd_info_type-Informed Consent Form (ICF),execution_fail,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.14746874804103757,1.0528044777432037e-11,2105,2.0455192550366388e-11
approval_outcome,study_design_info/masking,approval_outcome,study_design_info/masking,num,cat,eta,0.14731816829119984,4.795261827215928e-102,24224,2.265442137002202e-101
approval_outcome,responsible_party/responsible_party_type,approval_outcome,responsible_party/responsible_party_type,num,cat,eta,0.1469645421620457,2.0818457492578568e-104,21870,1.0084574438412816e-103
location/facility/address/city,responsible_party/responsible_party_type,location/facility/address/city__n_items,responsible_party/responsible_party_type,num,cat,eta,0.14600475006407784,2.56188e-318,67878,2.587914e-317
Experimental Arm Number,study_design_info/allocation,Experimental Arm Number,study_design_info/allocation,num,cat,eta,0.14584947073562704,4.296928097085721e-279,59269,3.999200869385025e-278
Radiation intervention Number,mortality_rate,Radiation intervention Number,mortality_rate,num,num,abs_spearman,0.14573194301225303,1.277182819177559e-85,17916,5.434587852151086e-85
condition_browse/mesh_term,start_date,condition_browse/mesh_term__n_items,start_date__days,num,num,abs_spearman,0.14536987537634172,4.6751407385899844e-201,42855,3.4473960639157597e-200
mortality_rate,number_of_arms,mortality_rate,number_of_arms,num,num,abs_spearman,0.14502610727041218,1.155462683702776e-84,17886,4.891524308349912e-84
execution_pass,mortality_YN,execution_pass,mortality_YN,num,num,abs_spearman,0.1450133583222679,9.972430313561742e-85,17903,4.228923093720295e-84
execution_fail,mortality_YN,execution_fail,mortality_YN,num,num,abs_spearman,0.1450133583222679,9.972430313561742e-85,17903,4.228923093720295e-84
execution_fail,sponsors/lead_sponsor/agency_class,execution_fail,sponsors/lead_sponsor/agency_class,num,cat,eta,0.14481664577381473,1.3813080899562883e-193,42207,9.92066648422363e-193
execution_pass,sponsors/lead_sponsor/agency_class,execution_pass,sponsors/lead_sponsor/agency_class,num,cat,eta,0.1448166457738147,1.3813080899562883e-193,42207,9.92066648422363e-193
dropout_YN,responsible_party/responsible_party_type,dropout_YN,responsible_party/responsible_party_type,num,cat,eta,0.1446514553421075,4.10995974291433e-169,36674,2.745497301382288e-168
Drug intervention Number,enrollment,Drug intervention Number,enrollment,num,num,abs_spearman,0.14464910991272784,2.216499963663994e-206,44446,1.6640490663761404e-205
icdcode,sponsors/lead_sponsor/agency_class,icdcode__n_items,sponsors/lead_sponsor/agency_class,num,cat,eta,0.14375742960812113,3.66e-322,71221,3.71e-321
oversight_info/is_fda_regulated_drug,phase,oversight_info/is_fda_regulated_drug,phase,cat,cat,cramers_v,0.14364139521513444,2.990489528583409e-61,13761,1.0496280336906456e-60
MaskingType-Outcomes Assessor,sae_rate,MaskingType-Outcomes Assessor,sae_rate,num,num,abs_spearman,0.14363975097599832,4.324647961547095e-83,17890,1.8122681592655197e-82
failure_reason,patient_data/sharing_ipd,failure_reason,patient_data/sharing_ipd,cat,cat,cramers_v,0.1431383912157002,6.606421643688864e-18,2274,1.4723728954768455e-17
approval_outcome,dropout_rate,approval_outcome,dropout_rate,num,num,abs_spearman,0.1429780039187318,1.997378539436585e-65,14131,7.3642220630562525e-65
ipd_info_type-Clinical Study Report (CSR),oversight_info/has_dmc,ipd_info_type-Clinical Study Report (CSR),oversight_info/has_dmc,num,cat,eta,0.14260516551246846,3.495381265154963e-10,1919,6.53575804658396e-10
dropout_rate,enrollment,dropout_rate,enrollment,num,num,abs_spearman,0.14258678823532914,4.26677892942718e-173,38301,2.8969796829580715e-172
study_design_info/intervention_model,study_design_info/primary_purpose,study_design_info/intervention_model,study_design_info/primary_purpose,cat,cat,cramers_v,0.14236831499404518,0.0,80137,0.0
Placebo Comparator Arm Number,intervention_browse/mesh_term,Placebo Comparator Arm Number,intervention_browse/mesh_term__n_items,num,num,abs_spearman,0.14197766345328638,0.0,78123,0.0
MaskingType-Outcomes Assessor,mortality_rate,MaskingType-Outcomes Assessor,mortality_rate,num,num,abs_spearman,0.1417157393178549,6.587129108658102e-81,17890,2.719105620434449e-80
duration_year,execution_fail,duration_year,execution_fail,num,num,abs_spearman,0.1411103876114835,9.731786680386881e-90,20062,4.220504345682618e-89
duration_year,execution_pass,duration_year,execution_pass,num,num,abs_spearman,0.1411103876114835,9.731786680386881e-90,20062,4.220504345682618e-89
duration_day,execution_pass,duration_day,execution_pass,num,num,abs_spearman,0.1411103876114835,9.731786680386881e-90,20062,4.220504345682618e-89
duration_day,execution_fail,duration_day,execution_fail,num,num,abs_spearman,0.1411103876114835,9.731786680386881e-90,20062,4.220504345682618e-89
duration_month,execution_fail,duration_month,execution_fail,num,num,abs_spearman,0.14088382907132874,1.874247992263419e-89,20062,8.100010888303646e-89
duration_month,execution_pass,duration_month,execution_pass,num,num,abs_spearman,0.14088382907132874,1.874247992263419e-89,20062,8.100010888303646e-89
Active Comparator Arm Number,study_design_info/masking_num,Active Comparator Arm Number,study_design_info/masking_num,num,num,abs_spearman,0.14069540746370549,1.432700819054195e-302,69142,1.4241046141398697e-301
MaskingType-Investigator,mortality_YN,MaskingType-Investigator,mortality_YN,num,num,abs_spearman,0.1403610653922832,2.1739917697386653e-79,17890,8.900114576277732e-79
location/facility/address/city,study_design_info/intervention_model,location/facility/address/city__n_items,study_design_info/intervention_model,num,cat,eta,0.14033500405723962,0.0,80897,0.0
Active Comparator Arm Number,smiless,Active Comparator Arm Number,smiless__n_items,num,num,abs_spearman,0.14023907800886942,2.9461823081150095e-301,69293,2.9168378628150593e-300
completion_date,ipd_info_type-Clinical Study Report (CSR),completion_date__days,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.13999186321625082,5.0980322934167755e-09,1728,9.166867039899195e-09
oversight_info/has_dmc,responsible_party/responsible_party_type,oversight_info/has_dmc,responsible_party/responsible_party_type,cat,cat,cramers_v,0.13964651481778,1.1401036666618976e-151,35645,6.89332752227449e-151
completion_date,execution_fail,completion_date__days,execution_fail,num,num,abs_spearman,0.13914755509362856,2.7444880071999725e-87,20062,1.1779020203613008e-86
completion_date,execution_pass,completion_date__days,execution_pass,num,num,abs_spearman,0.13914755509362856,2.7444880071999725e-87,20062,1.1779020203613008e-86
mortality_rate,smiless,mortality_rate,smiless__n_items,num,num,abs_spearman,0.13898210267446828,5.716303437221732e-78,17916,2.317294297144536e-77
brief_title,phase,brief_title__n_items,phase,num,cat,eta,0.13870821238233594,0.0,81786,0.0
intervention_browse/mesh_term,mortality_YN,intervention_browse/mesh_term__n_items,mortality_YN,num,num,abs_spearman,0.13811087583375095,5.215448770241395e-77,17916,2.097150516836548e-76
sponsors/lead_sponsor/agency_class,study_design_info/masking,sponsors/lead_sponsor/agency_class,study_design_info/masking,cat,cat,cramers_v,0.13786506355990824,0.0,64727,0.0
Placebo Comparator Arm Number,mortality_YN,Placebo Comparator Arm Number,mortality_YN,num,num,abs_spearman,0.1371263072114461,8.296551672733017e-76,17886,3.2934394419714934e-75
MaskingType-Investigator,dropout_YN,MaskingType-Investigator,dropout_YN,num,num,abs_spearman,0.13689270918717086,3.0733146783394074e-159,38218,1.9334650571325133e-158
Behavioral intervention Number,ipd_info_type-Clinical Study Report (CSR),Behavioral intervention Number,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.13678849976767984,1.9982901275958542e-10,2145,3.7705018732541367e-10
No Intervention Arm Number,sponsors/lead_sponsor/agency_class,No Intervention Arm Number,sponsors/lead_sponsor/agency_class,num,cat,eta,0.13656233350594094,1.6336068473847259e-282,69293,1.5376943241481226e-281
Experimental Arm Number,ipd_info_type-Clinical Study Report (CSR),Experimental Arm Number,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.13599644318980267,2.694143730562753e-10,2139,5.052790317319578e-10
Biological intervention Number,eligibility/maximum_age,Biological intervention Number,eligibility/maximum_age__years,num,num,abs_spearman,0.13588871816717313,2.5093804819595008e-175,42760,1.722599584991536e-174
Radiation intervention Number,intervention/intervention_name,Radiation intervention Number,intervention/intervention_name__n_items,num,num,abs_spearman,0.13588326912380558,0.0,81786,0.0
intervention/intervention_name,study_design_info/masking,intervention/intervention_name__n_items,study_design_info/masking,num,cat,eta,0.13558820887092604,7.163528129109272e-286,75043,6.79441503848723e-285
Sham Comparator Arm Number,study_design_info/masking,Sham Comparator Arm Number,study_design_info/masking,num,cat,eta,0.13478252973411353,4.570364722033185e-239,64055,3.9028715925266195e-238
MaskingType-Participant,ipd_info_type-Clinical Study Report (CSR),MaskingType-Participant,ipd_info_type-Clinical Study Report (CSR),num,num,abs_spearman,0.1346518057831074,3.8207211969101277e-10,2145,7.133352497612072e-10
Radiation intervention Number,sponsors/lead_sponsor/agency_class,Radiation intervention Number,sponsors/lead_sponsor/agency_class,num,cat,eta,0.13425310726905373,1.5208031943715726e-280,71221,1.4207503526366008e-279
condition_browse/mesh_term,mortality_rate,condition_browse/mesh_term__n_items,mortality_rate,num,num,abs_spearman,0.13374871687616122,2.698437921139929e-72,17916,1.052687320884258e-71
Experimental Arm Number,failure_reason,Experimental Arm Number,failure_reason,num,cat,eta,0.13374763078083632,1.0688869849178271e-73,18919,4.196183503192417e-73
No Intervention Arm Number,study_design_info/masking,No Intervention Arm Number,study_design_info/masking,num,cat,eta,0.1337183953432372,4.512423326563758e-235,64055,3.8140720974527e-234
duration_month,intervention_browse/mesh_term,duration_month,intervention_browse/mesh_term__n_items,num,num,abs_spearman,0.13368887275154412,4.3869654887004154e-170,42855,2.970465732812134e-169
enrollment,failure_reason,enrollment,failure_reason,num,cat,eta,0.1336364951338867,1.9025174415595665e-24,6304,4.713614997283672e-24
condition_browse/mesh_term,study_design_info/intervention_model,condition_browse/mesh_term__n_items,study_design_info/intervention_model,num,cat,eta,0.1335678230752232,4.522471878e-314,80897,4.549936282e-313
duration_day,intervention_browse/mesh_term,duration_day,intervention_browse/mesh_term__n_items,num,num,abs_spearman,0.13323985744911931,6.01380329642118e-169,42855,3.9851469844284356e-168
duration_year,intervention_browse/mesh_term,duration_year,intervention_browse/mesh_term__n_items,num,num,abs_spearman,0.13323985744911931,6.01380329642118e-169,42855,3.9851469844284356e-168
intervention/intervention_type,oversight_info/is_fda_regulated_drug,intervention/intervention_type__n_items,oversight_info/is_fda_regulated_drug,num,cat,eta,0.1330698027031846,2.1251166181846354e-55,13761,7.136371346201107e-55
Device intervention Number,study_design_info/masking,Device intervention Number,study_design_info/masking,num,cat,eta,0.1323319954873899,1.836654862639559e-232,64727,1.5264506132639814e-231
Biological intervention Number,sae_YN,Biological intervention Number,sae_YN,num,num,abs_spearman,0.13232692631737186,8.586844850543323e-71,17916,3.2980385554250625e-70
Behavioral intervention Number,study_design_info/masking,Behavioral intervention Number,study_design_info/masking,num,cat,eta,0.13227418524778972,2.632304542935058e-271,75043,2.422695107108748e-270
dropout_rate,start_date,dropout_rate,start_date__days,num,num,abs_spearman,0.13135985108777717,3.965315918453367e-63,16162,1.4364154602560666e-62
approval_outcome,ipd_info_type-Statistical Analysis Plan (SAP),approval_outcome,ipd_info_type-Statistical Analysis Plan (SAP),num,num,abs_spearman,0.13125574253344532,0.00032496706714405226,746,0.0004861789053901083
MaskingType-Care Provider,mortality_rate,MaskingType-Care Provider,mortality_rate,num,num,abs_spearman,0.13124315862485228,1.4675650798046103e-69,17890,5.55929759651594e-69
dropout_YN,duration_year,dropout_YN,duration_year,num,num,abs_spearman,0.1312131299689243,5.449024611048854e-63,16162,1.965286815450857e-62
dropout_YN,duration_day,dropout_YN,duration_day,num,num,abs_spearman,0.1312131299689243,5.449024611048854e-63,16162,1.965286815450857e-62
Radiation intervention Number,duration_month,Radiation intervention Number,duration_month,num,num,abs_spearman,0.13097875641361614,2.783582171557631e-163,42855,1.8060578841568441e-162
Radiation intervention Number,duration_day,Radiation intervention Number,duration_day,num,num,abs_spearman,0.13094238935949026,3.426950749952934e-163,42855,2.211940938605985e-162
Radiation intervention Number,duration_year,Radiation intervention Number,duration_year,num,num,abs_spearman,0.13094238935949026,3.426950749952934e-163,42855,2.211940938605985e-162
dropout_YN,duration_month,dropout_YN,duration_month,num,num,abs_spearman,0.13083063015590812,1.2457876513320834e-62,16162,4.454363041093852e-62
responsible_party/responsible_party_type,study_design_info/masking,responsible_party/responsible_party_type,study_design_info/masking,cat,cat,cramers_v,0.13081239994271127,0.0,63064,0.0
condition,duration_month,condition__n_items,duration_month,num,num,abs_spearman,0.13075837518873118,9.804842063801485e-163,42855,6.312184592887744e-162
condition,duration_year,condition__n_items,duration_year,num,num,abs_spearman,0.1306885495189659,1.4605022505617106e-162,42855,9.353989929499617e-162
condition,duration_day,condition__n_items,duration_day,num,num,abs_spearman,0.1306885495189659,1.4605022505617106e-162,42855,9.353989929499617e-162
dropout_rate,phase,dropout_rate,phase,num,cat,eta,0.1305083091543166,2.7724858461155724e-142,38302,1.624912105565377e-141
ipd_info_type-Informed Consent Form (ICF),responsible_party/responsible_party_type,ipd_info_type-Informed Consent Form (ICF),responsible_party/responsible_party_type,num,cat,eta,0.12954909319106958,1.4473646571177167e-08,2136,2.578280410707904e-08
condition_browse/mesh_term,sponsors/lead_sponsor/agency_class,condition_browse/mesh_term__n_items,sponsors/lead_sponsor/agency_class,num,cat,eta,0.12920806944938815,1.2124612943191006e-259,71221,1.0799162424311702e-258
eligibility/maximum_age,patient_data/sharing_ipd,eligibility/maximum_age__years,patient_data/sharing_ipd,num,cat,eta,0.12919522879512935,8.872833605360267e-26,6857,2.2339403758176556e-25
dropout_YN,study_design_info/masking_num,dropout_YN,study_design_info/masking_num,num,num,abs_spearman,0.12903290458714925,1.4809587730583028e-141,38218,8.638926176173433e-141
condition,ipd_info_type-Informed Consent Form (ICF),condition__n_items,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.12846273173373954,2.359076671504073e-09,2145,4.3010312022653135e-09
Experimental Arm Number,ipd_info_type-Statistical Analysis Plan (SAP),Experimental Arm Number,ipd_info_type-Statistical Analysis Plan (SAP),num,num,abs_spearman,0.12822067056732164,7.369349386144885e-10,2290,1.363576561769921e-09
ipd_info_type-Clinical Study Report (CSR),study_design_info/masking_num,ipd_info_type-Clinical Study Report (CSR),study_design_info/masking_num,num,num,abs_spearman,0.12788691924952242,2.7824802073663607e-09,2145,5.0581297112695e-09
Behavioral intervention Number,sponsors/lead_sponsor/agency_class,Behavioral intervention Number,sponsors/lead_sponsor/agency_class,num,cat,eta,0.12781829027121241,4.96417623459654e-254,71221,4.374460263465391e-253
eligibility/gender,phase,eligibility/gender,phase,cat,cat,cramers_v,0.12773544649097152,0.0,71221,0.0
condition_browse/mesh_term,mortality_YN,condition_browse/mesh_term__n_items,mortality_YN,num,num,abs_spearman,0.12750487924441165,8.079537575250115e-66,17916,2.987745665847699e-65
dropout_YN,failure_reason,dropout_YN,failure_reason,num,cat,eta,0.12741506232876523,3.443246690016718e-22,6299,8.180179755919258e-22
ipd_info_type-Statistical Analysis Plan (SAP),sae_rate,ipd_info_type-Statistical Analysis Plan (SAP),sae_rate,num,num,abs_spearman,0.12714093027967308,5.3461758160090314e-08,1818,9.303394189623559e-08
enrollment,ipd_info_type-Informed Consent Form (ICF),enrollment,ipd_info_type-Informed Consent Form (ICF),num,num,abs_spearman,0.12712845547297644,3.454455039051336e-09,2145,6.2613572370842955e-09
smiless,start_date,smiless__n_items,start_date__days,num,num,abs_spearman,0.12707810696052646,9.617080583891536e-154,42855,5.88631656427844e-153
ipd_info_type-Analytic Code,responsible_party/responsible_party_type,ipd_info_type-Analytic Code,responsible_party/responsible_party_type,num,cat,eta,0.12685855928020423,3.0580912211992e-08,2136,5.3667773196892734e-08
failure_reason,phase,failure_reason,phase,cat,cat,cramers_v,0.12650729832336519,7.036822291404372e-209,20769,5.347554554782833e-208
oversight_info/has_dmc,study_design_info/primary_purpose,oversight_info/has_dmc,study_design_info/primary_purpose,cat,cat,cramers_v,0.1252315329059599,4.6235087023564036e-148,45283,2.748664862525278e-147
biology_pass,execution_pass,biology_pass,execution_pass,num,num,abs_spearman,0.1250231600115843,3.4771604113989363e-99,28367,1.5912971680159037e-98
biology_pass,execution_fail,biology_pass,execution_fail,num,num,abs_spearman,0.1250231600115843,3.4771604113989363e-99,28367,1.5912971680159037e-98
biology_fail,execution_pass,biology_fail,execution_pass,num,num,abs_spearman,0.1250231600115843,3.4771604113989363e-99,28367,1.5912971680159037e-98
biology_fail,execution_fail,biology_fail,execution_fail,num,num,abs_spearman,0.1250231600115843,3.4771604113989363e-99,28367,1.5912971680159037e-98
patient_data/sharing_ipd,study_design_info/primary_purpose,patient_data/sharing_ipd,study_design_info/primary_purpose,cat,cat,cramers_v,0.12466158017723299,3.2843549841653483e-79,13490,1.342372061784686e-78
oversight_info/has_dmc,study_design_info/intervention_model,oversight_info/has_dmc,study_design_info/intervention_model,cat,cat,cramers_v,0.12417786051222766,3.93157103984656e-151,45679,2.3598922787484786e-150
execution_fail,study_design_info/masking,execution_fail,study_design_info/masking,num,cat,eta,0.1241630001762441,4.0991503051397225e-162,52422,2.611894489300567e-161
execution_pass,study_design_info/masking,execution_pass,study_design_info/masking,num,cat,eta,0.12416300017624408,4.099150305139492e-162,52422,2.611894489300567e-161
patient_data/sharing_ipd,study_design_info/masking,patient_data/sharing_ipd,study_design_info/masking,cat,cat,cramers_v,0.12352602940338109,4.7264306616810737e-63,12943,1.7096332160520331e-62
eligibility/maximum_age,phase,eligibility/maximum_age__years,phase,num,cat,eta,0.12351616373331138,3.7494717111050375e-142,42760,2.192338165199063e-141
eligibility/maximum_age,sae_YN,eligibility/maximum_age__years,sae_YN,num,num,abs_spearman,0.12349386786709707,5.412583380702972e-31,8723,1.449382510888673e-30
ipd_info_type-Clinical Study Report (CSR),phase,ipd_info_type-Clinical Study Report (CSR),phase,num,cat,eta,0.1232516071128289,3.582005622282701e-07,2145,6.07596175520308e-07
intervention_browse/mesh_term,phase,intervention_browse/mesh_term__n_items,phase,num,cat,eta,0.1231848935458118,8.005378619248874e-271,81786,7.340725412853673e-270
icdcode,mortality_rate,icdcode__n_items,mortality_rate,num,num,abs_spearman,0.12294769649546607,2.714534560614713e-61,17916,9.541185831863595e-61
enrollment,sae_rate,enrollment,sae_rate,num,num,abs_spearman,0.12288236125883109,4.106020073741685e-61,17881,1.4371070258095897e-60
condition_browse/mesh_term,eligibility/gender,condition_browse/mesh_term__n_items,eligibility/gender,num,cat,eta,0.12284431474490835,7.018532715199573e-236,71221,5.9525780878057805e-235
ipd_info_type-Clinical Study Report (CSR),number_of_arms,ipd_info_type-Clinical Study Report (CSR),number_of_arms,num,num,abs_spearman,0.12280094716089918,1.2142200214002985e-08,2139,2.16762697785901e-08
